K,Step,rho_g,rho_p,id,p,deltaG,deltaP
5,4,2.37705,2.04918,2530,5303,58,50
5,5,3.98438,3.98438,5996,5996,51,51
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.27737,758,6330,87,70
5,3,1.81373,1.7402,6880,5996,74,71
5,4,2.55639,2.55639,5303,5303,68,68
5,5,5,5,1126,1126,65,65
5,1,2.72803,0.820896,1986,5996,329,99
5,2,1.58759,1.27737,758,1126,87,70
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.44186,2.44186,5996,5996,63,63
5,5,4.4697,4.4697,1126,1126,59,59
5,1,2.72803,0.862355,1986,1126,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.37705,2.04918,2530,5303,58,50
5,5,3.98438,3.75,5996,1126,51,48
5,1,2.72803,0.862355,1986,5303,329,104
5,2,1.58759,1.25912,758,5303,87,69
5,3,1.73797,1.5508,937,5303,65,58
5,4,2.44186,2.44186,5996,5996,63,63
5,5,4.4697,4.39394,1126,6330,59,58
6,1,2.95952,0.890555,1986,6330,329,99
6,2,1.54438,1.2426,758,1126,87,70
