K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
100,25,0,10.0,2.0,1,1,23,0.958015267
100,25,0,10.0,2.0,1,1,24,0.95610687
100,25,0,10.0,2.0,1,1,25,0.954198473
10,2,1,10.0,2.0,1,0,0,0.831372549
10,2,1,10.0,2.0,1,0,1,1.0
10,2,1,10.0,2.0,1,0,2,1.0
10,2,1,10.0,2.0,1,1,0,0.831372549
10,2,1,10.0,2.0,1,1,1,1.0
10,2,1,10.0,2.0,1,1,2,0.980392157
20,5,2,10.0,2.0,1,0,0,0.793269231
20,5,2,10.0,2.0,1,0,1,1.0
20,5,2,10.0,2.0,1,0,2,1.0
20,5,2,10.0,2.0,1,0,3,1.0
20,5,2,10.0,2.0,1,0,4,1.0
20,5,2,10.0,2.0,1,0,5,1.0
20,5,2,10.0,2.0,1,1,0,0.793269231
20,5,2,10.0,2.0,1,1,1,1.0
20,5,2,10.0,2.0,1,1,2,0.990384615
20,5,2,10.0,2.0,1,1,3,0.980769231
20,5,2,10.0,2.0,1,1,4,0.971153846
20,5,2,10.0,2.0,1,1,5,0.961538462
30,7,3,10.0,2.0,1,0,0,0.8
30,7,3,10.0,2.0,1,0,1,1.0
30,7,3,10.0,2.0,1,0,2,1.0
30,7,3,10.0,2.0,1,0,3,1.0
30,7,3,10.0,2.0,1,0,4,1.0
30,7,3,10.0,2.0,1,0,5,1.0
30,7,3,10.0,2.0,1,0,6,1.0
30,7,3,10.0,2.0,1,0,7,1.0
30,7,3,10.0,2.0,1,1,0,0.8
30,7,3,10.0,2.0,1,1,1,1.0
30,7,3,10.0,2.0,1,1,2,0.993589744
30,7,3,10.0,2.0,1,1,3,0.987179487
30,7,3,10.0,2.0,1,1,4,0.980769231
30,7,3,10.0,2.0,1,1,5,0.974358974
30,7,3,10.0,2.0,1,1,6,0.967948718
30,7,3,10.0,2.0,1,1,7,0.961538462
40,10,4,10.0,2.0,1,0,0,0.789473684
40,10,4,10.0,2.0,1,0,1,1.0
40,10,4,10.0,2.0,1,0,2,1.0
40,10,4,10.0,2.0,1,0,3,1.0
40,10,4,10.0,2.0,1,0,4,1.0
40,10,4,10.0,2.0,1,0,5,1.0
40,10,4,10.0,2.0,1,0,6,1.0
40,10,4,10.0,2.0,1,0,7,1.0
40,10,4,10.0,2.0,1,0,8,1.0
40,10,4,10.0,2.0,1,0,9,1.0
40,10,4,10.0,2.0,1,0,10,1.0
40,10,4,10.0,2.0,1,1,0,0.789473684
40,10,4,10.0,2.0,1,1,1,1.0
40,10,4,10.0,2.0,1,1,2,0.995215311
40,10,4,10.0,2.0,1,1,3,0.990430622
40,10,4,10.0,2.0,1,1,4,0.985645933
40,10,4,10.0,2.0,1,1,5,0.980861244
40,10,4,10.0,2.0,1,1,6,0.976076555
40,10,4,10.0,2.0,1,1,7,0.971291866
40,10,4,10.0,2.0,1,1,8,0.966507177
40,10,4,10.0,2.0,1,1,9,0.961722488
40,10,4,10.0,2.0,1,1,10,0.956937799
50,12,5,10.0,2.0,1,0,0,0.794176245
50,12,5,10.0,2.0,1,0,1,1.0
50,12,5,10.0,2.0,1,0,2,1.0
50,12,5,10.0,2.0,1,0,3,1.0
50,12,5,10.0,2.0,1,0,4,1.0
50,12,5,10.0,2.0,1,0,5,1.0
50,12,5,10.0,2.0,1,0,6,1.0
50,12,5,10.0,2.0,1,0,7,1.0
50,12,5,10.0,2.0,1,0,8,1.0
50,12,5,10.0,2.0,1,0,9,1.0
50,12,5,10.0,2.0,1,0,10,1.0
50,12,5,10.0,2.0,1,0,11,1.0
50,12,5,10.0,2.0,1,0,12,1.0
50,12,5,10.0,2.0,1,1,0,0.794176245
50,12,5,10.0,2.0,1,1,1,1.0
50,12,5,10.0,2.0,1,1,2,0.996168582
50,12,5,10.0,2.0,1,1,3,0.992337165
50,12,5,10.0,2.0,1,1,4,0.988505747
50,12,5,10.0,2.0,1,1,5,0.98467433
50,12,5,10.0,2.0,1,1,6,0.980842912
50,12,5,10.0,2.0,1,1,7,0.977011494
50,12,5,10.0,2.0,1,1,8,0.973180077
50,12,5,10.0,2.0,1,1,9,0.969348659
50,12,5,10.0,2.0,1,1,10,0.965517241
50,12,5,10.0,2.0,1,1,11,0.961685824
50,12,5,10.0,2.0,1,1,12,0.957854406
60,15,6,10.0,2.0,1,0,0,0.788216561
60,15,6,10.0,2.0,1,0,1,1.0
60,15,6,10.0,2.0,1,0,2,1.0
60,15,6,10.0,2.0,1,0,3,1.0
60,15,6,10.0,2.0,1,0,4,1.0
60,15,6,10.0,2.0,1,0,5,1.0
60,15,6,10.0,2.0,1,0,6,1.0
60,15,6,10.0,2.0,1,0,7,1.0
60,15,6,10.0,2.0,1,0,8,1.0
60,15,6,10.0,2.0,1,0,9,1.0
60,15,6,10.0,2.0,1,0,10,1.0
60,15,6,10.0,2.0,1,0,11,1.0
60,15,6,10.0,2.0,1,0,12,1.0
60,15,6,10.0,2.0,1,0,13,1.0
60,15,6,10.0,2.0,1,0,14,1.0
60,15,6,10.0,2.0,1,0,15,1.0
60,15,6,10.0,2.0,1,1,0,0.788216561
60,15,6,10.0,2.0,1,1,1,1.0
60,15,6,10.0,2.0,1,1,2,0.996815287
60,15,6,10.0,2.0,1,1,3,0.993630573
60,15,6,10.0,2.0,1,1,4,0.99044586
60,15,6,10.0,2.0,1,1,5,0.987261146
60,15,6,10.0,2.0,1,1,6,0.984076433
60,15,6,10.0,2.0,1,1,7,0.98089172
60,15,6,10.0,2.0,1,1,8,0.977707006
60,15,6,10.0,2.0,1,1,9,0.974522293
60,15,6,10.0,2.0,1,1,10,0.97133758
60,15,6,10.0,2.0,1,1,11,0.968152866
60,15,6,10.0,2.0,1,1,12,0.964968153
60,15,6,10.0,2.0,1,1,13,0.961783439
60,15,6,10.0,2.0,1,1,14,0.958598726
60,15,6,10.0,2.0,1,1,15,0.955414013
70,17,7,10.0,2.0,1,0,0,0.791725215
70,17,7,10.0,2.0,1,0,1,1.0
70,17,7,10.0,2.0,1,0,2,1.0
70,17,7,10.0,2.0,1,0,3,1.0
70,17,7,10.0,2.0,1,0,4,1.0
70,17,7,10.0,2.0,1,0,5,1.0
70,17,7,10.0,2.0,1,0,6,1.0
70,17,7,10.0,2.0,1,0,7,1.0
70,17,7,10.0,2.0,1,0,8,1.0
70,17,7,10.0,2.0,1,0,9,1.0
70,17,7,10.0,2.0,1,0,10,1.0
70,17,7,10.0,2.0,1,0,11,1.0
70,17,7,10.0,2.0,1,0,12,1.0
70,17,7,10.0,2.0,1,0,13,1.0
70,17,7,10.0,2.0,1,0,14,1.0
70,17,7,10.0,2.0,1,0,15,1.0
70,17,7,10.0,2.0,1,0,16,1.0
70,17,7,10.0,2.0,1,0,17,1.0
70,17,7,10.0,2.0,1,1,0,0.791725215
70,17,7,10.0,2.0,1,1,1,1.0
70,17,7,10.0,2.0,1,1,2,0.99726776
70,17,7,10.0,2.0,1,1,3,0.994535519
70,17,7,10.0,2.0,1,1,4,0.991803279
70,17,7,10.0,2.0,1,1,5,0.989071038
70,17,7,10.0,2.0,1,1,6,0.986338798
70,17,7,10.0,2.0,1,1,7,0.983606557
70,17,7,10.0,2.0,1,1,8,0.980874317
70,17,7,10.0,2.0,1,1,9,0.978142077
70,17,7,10.0,2.0,1,1,10,0.975409836
70,17,7,10.0,2.0,1,1,11,0.972677596
